Hate Crime Complaints and Arrests,,,,,
Summary Table,,,,,
1st Quarter 2020,,,,,
,,,,,
Precinct,Complaints,Arrests,,,
1,3,1,,,
5,2,1,,,
6,0,0,,,
7,2,0,,,
9,0,0,,,
10,0,0,,,
13,2,1,,,
14,2,0,,,
17,0,0,,,
18,3,1,,,
19,1,0,,,
20,1,0,,,
22,0,0,,,
23,3,3,,,
24,0,0,,,
25,1,0,,,
26,1,0,,,
28,1,0,,,
30,1,2,,,
32,1,0,,,
33,0,0,,,
34,2,0,,,
40,3,0,,,
41,0,0,,,
42,0,0,,,
43,0,0,,,
44,3,4,,,
45,0,0,,,
46,0,0,,,
47,0,0,,,
48,0,0,,,
49,0,0,,,
50,1,0,,,
52,0,0,,,
60,4,0,,,
61,0,0,,,
62,0,0,,,
63,1,0,,,
66,2,1,,,
67,0,0,,,
68,0,0,,,
69,0,0,,,
70,3,0,,,
71,2,1,,,
72,3,1,,,
73,2,0,,,
75,1,0,,,
76,0,0,,,
77,0,0,,,
78,2,1,,,
79,1,0,,,
81,0,0,,,
83,1,0,,,
84,3,1,,,
88,5,0,,,
90,2,2,,,
94,1,0,,,
100,1,0,,,
101,1,0,,,
102,0,0,,,
103,0,0,,,
104,0,0,,,
105,0,0,,,
106,1,0,,,
107,5,1,,,
108,0,0,,,
109,0,0,,,
110,1,0,,,
111,3,1,,,
112,1,1,,,
113,1,0,,,
114,0,0,,,
115,1,0,,,
120,3,0,,,
121,0,0,,,
122,0,0,,,
123,0,0,,,
Total,84,23,,,
,,,,,
Note: Additional information related to bias type and arrest charge,,,,,
available in separately published hate crime complaint and,,,,,
arrest reports.,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,